Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
18,12,Nick Grigg,16.9,Miami Sharks,CHI,62,5,1,0,0,0,0,0,0,0,0,4,56,51,13,0,2,0,1,5,4,80,6,0,12,11,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0
18,12,Paul Lasike,9.7,Utah Warriors,LA,81,0,0,0,0,0,0,0,0,0,0,9,80,69,8,0,9,0,1,5,4,80,10,0,7,6,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
18,12,Sam Hill,7.5,Houston Sabercats,DAL,84,0,0,0,0,0,0,0,0,0,0,7,42,35,5,0,5,0,0,6,6,100,7,1,11,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,Seth Purdey,8,RFC Los Angeles,UTAH,57,0,0,0,0,0,0,0,0,0,0,5,45,39,8,0,2,2,1,3,3,100,2,1,10,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,12,Tavite Lopeti,5.4,Seattle Seawolves,SDL,82,0,0,0,0,0,0,0,0,0,0,9,75,66,7,1,6,0,3,5,5,100,8,0,14,10,4,0,0,1,0,3,3,0,3,0,0,1,0,0,0,1,0,0
18,12,Tomas Cubilla,18.3,Dallas Jackals,HOU,84,5,1,0,0,0,0,0,0,0,0,12,100,88,7,1,10,2,1,4,4,100,7,0,8,5,3,0,0,2,0,3,3,0,0,2,0,0,0,0,0,1,0,0
18,12,Tommaso Boni,8.9,Old Glory DC,NOLA,82,0,0,0,0,0,0,0,0,0,0,8,70,60,7,0,4,1,1,9,9,100,9,0,9,8,1,0,0,0,0,6,5,0,1,1,0,1,0,0,0,0,0,0
1,13,Ben LeSage,13.5,New England Free Jacks,ARC,57,12,2,1,0,0,0,0,0,0,0,4,37,36,9,1,3,0,1,4,4,100,6,0,4,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,13,Cael Hodgson,6,Anthem RC,NEFJ,79,0,0,0,0,0,0,0,0,0,0,3,37,33,11,0,1,1,0,0,0,0,6,0,11,9,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
1,13,James Stokes,6,RFC Los Angeles,DAL,83,0,0,0,0,0,0,0,0,0,0,8,57,52,7,0,7,0,0,3,3,100,7,1,1,1,0,0,0,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0
