id,Name,Team,Position,Points
122,Danyon Morgan-Puterangi,NEFJ,B3,132.1559718
123,Joe Taufete'e,NOLA,FR,106.6623065
124,Phil Bradford,UTAH,Bench,45.80470031
125,Tevita Kuridrani,SEA,C,131.4279917
126,Jake Turnbull,ARC,FR,105.8193167
127,Tevita Tameilau,SDL,BR,105.7222709
128,Utah Warriors,UTAH,DSP,33.09382248
129,Luke Carty,NOLA,B3,130.8134097
130,Mitch Wilson,NEFJ,B3,130.751085
131,Sam Windsor,SEA,Bench,44.73247418
132,Seta Baker,NEFJ,BR,105.10867
133,Michael Maafu,ARC,BR,104.7843764
134,Jason Tidwell,ARC,Bench,44.20832021
135,Cam Davidowicz,NEFJ,Bench,44.02332304
136,Matt Jenson,UTAH,SR,104.0012945
137,Drew Wild,HOU,B3,129.3799187
138,Hugh Roach,SDL,FR,103.5822415
139,Oscar Lennon,NEFJ,Bench,42.97347045
140,Rob Harley,OGDC,SR,103.393767
141,Alesana Pohla,UTAH,Bench,42.72419525
142,Damian Stevens,NOLA,Bench,42.71426007
143,Isaia Lotawa,SEA,Bench,42.65355666
144,Derek Adams,LA,Bench,42.56339137
145,Carlo de Nysschen,ARC,Bench,42.36327057
146,Dewald Kotze,SEA,FR,102.7891595
147,Noah Brown,CHI,B3,128.2233079
148,Rugby FC Los Angeles,LA,DSP,30.14213393
149,Rory van Vugt,LA,B3,127.9935042
150,Kaleb Geiger,NEFJ,Bench,41.78184294
151,Thomas Tu'avao,UTAH,BR,101.663922
152,Matt Heaton,LA,BR,101.5955792
153,Julian Roberts,NOLA,Bench,41.04241803
154,Coalan Dooley,CHI,Bench,40.96111701
155,John Rizzo,OGDC,B3,126.7013623
156,Malakai Hala-Ngatai,NEFJ,Bench,40.34523696
157,Ethan Fryer,NEFJ,BR,100.693544
158,Reid Davis,SEA,Bench,39.97488175
159,Paddy Ryan_SDL,SDL,Bench,39.85491647
160,Miami Sharks,MIA,DSP,27.69090254
161,Connor Robinson,ARC,FR,99.875387
162,Ben Mitchell,LA,SR,99.78971179
163,Tonga Kofe,UTAH,Bench,39.1186241
164,Dom Akina,HOU,C,125.0139376
